,o,d,Run,Buckets,issues,l_steps,CI2,n_agents,p
1289,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1288,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1287,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1286,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1285,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1284,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1283,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1282,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1281,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1280,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1279,0.3,0.8499999999999999,3,2,3,1500,True,100,0.2
1278,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1277,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1276,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1275,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1274,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1273,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1272,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1271,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1270,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1269,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1268,0.3,0.7999999999999999,3,3,3,1500,True,100,0.2
1267,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1290,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1291,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1292,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1293,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1317,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1316,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1315,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1314,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1313,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1312,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1311,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1310,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1309,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1308,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1307,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1266,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1306,0.3,0.8999999999999999,3,2,3,1500,True,100,0.2
1304,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1303,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1302,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1301,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1300,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1299,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1298,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1297,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1296,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1295,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1294,0.3,0.8499999999999999,3,1,3,1500,True,100,0.2
1305,0.3,0.8999999999999999,3,1,3,1500,True,100,0.2
1210,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1265,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1263,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1234,0.3,0.7,3,1,3,1500,True,100,0.2
1233,0.3,0.7,3,1,3,1500,True,100,0.2
1232,0.3,0.7,3,1,3,1500,True,100,0.2
1231,0.3,0.7,3,1,3,1500,True,100,0.2
1230,0.3,0.7,3,1,3,1500,True,100,0.2
1229,0.3,0.7,3,2,3,1500,True,100,0.2
1228,0.3,0.55,3,2,3,1500,True,100,0.2
1227,0.3,0.7,3,1,3,1500,True,100,0.2
1226,0.3,0.7,3,1,3,1500,True,100,0.2
1225,0.3,0.7,3,3,3,1500,True,100,0.2
1224,0.3,0.7,3,1,3,1500,True,100,0.2
1223,0.3,0.7,3,1,3,1500,True,100,0.2
1222,0.3,0.7,3,1,3,1500,True,100,0.2
1221,0.3,0.7,3,1,3,1500,True,100,0.2
1220,0.3,0.7,3,1,3,1500,True,100,0.2
1219,0.3,0.7,3,1,3,1500,True,100,0.2
1218,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1217,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1216,0.3,0.6499999999999999,3,3,3,1500,True,100,0.2
1215,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1214,0.3,0.6499999999999999,3,1,3,1500,True,100,0.2
1213,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1212,0.3,0.6499999999999999,3,2,3,1500,True,100,0.2
1235,0.3,0.7,3,1,3,1500,True,100,0.2
1236,0.3,0.7,3,1,3,1500,True,100,0.2
1237,0.3,0.7,3,1,3,1500,True,100,0.2
1238,0.3,0.7,3,1,3,1500,True,100,0.2
1262,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1261,0.3,0.7999999999999999,3,2,3,1500,True,100,0.2
1260,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1259,0.3,0.75,3,2,3,1500,True,100,0.2
1258,0.3,0.75,3,2,3,1500,True,100,0.2
1257,0.3,0.75,3,1,3,1500,True,100,0.2
1256,0.3,0.75,3,1,3,1500,True,100,0.2
1255,0.3,0.75,3,1,3,1500,True,100,0.2
1254,0.3,0.75,3,1,3,1500,True,100,0.2
1253,0.3,0.75,3,1,3,1500,True,100,0.2
1252,0.3,0.75,3,1,3,1500,True,100,0.2
1264,0.3,0.7999999999999999,3,1,3,1500,True,100,0.2
1251,0.3,0.75,3,1,3,1500,True,100,0.2
1249,0.3,0.75,3,1,3,1500,True,100,0.2
1248,0.3,0.75,3,1,3,1500,True,100,0.2
1247,0.3,0.75,3,1,3,1500,True,100,0.2
1246,0.3,0.75,3,1,3,1500,True,100,0.2
1245,0.3,0.75,3,2,3,1500,True,100,0.2
1244,0.3,0.75,3,1,3,1500,True,100,0.2
1243,0.3,0.75,3,1,3,1500,True,100,0.2
1242,0.3,0.75,3,1,3,1500,True,100,0.2
1241,0.3,0.75,3,1,3,1500,True,100,0.2
1240,0.3,0.7,3,2,3,1500,True,100,0.2
1239,0.3,0.75,3,1,3,1500,True,100,0.2
1250,0.3,0.75,3,1,3,1500,True,100,0.2
